HGNC ID	Approved symbol	Approved name	OMIM ID(supplied by OMIM)	MANE Select Ensembl transcript ID (supplied by NCBI)	MANE Select RefSeq transcript ID (supplied by NCBI)
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	605460	ENST00000272286.4	NM_022437.3
HGNC:75	ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)			
HGNC:17553	ABHD1	abhydrolase domain containing 1	612195	ENST00000316470.9	NM_032604.4
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	612196	ENST00000352732.10	NM_152924.5
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	612197	ENST00000289119.7	NM_138340.5
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	619728	ENST00000428304.7	NM_022060.3
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	604780	ENST00000644371.2	NM_016006.6
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	616966	ENST00000478253.6	NM_001320126.2
HGNC:23759	ABHD8	abhydrolase domain containing 8		ENST00000247706.4	NM_024527.5
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	618756	ENST00000273359.8	NM_018394.4
HGNC:16407	ABHD11	abhydrolase domain containing 11		ENST00000222800.8	NM_148912.4
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	612545		
HGNC:40012	ABHD11-AS2	ABHD11 antisense RNA 2			
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	613599	ENST00000339157.10	NM_001042472.3
HGNC:19837	ABHD12B	abhydrolase domain containing 12B		ENST00000337334.7	NM_001206673.2
HGNC:20293	ABHD13	abhydrolase domain containing 13		ENST00000375898.4	NM_032859.3
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	618771	ENST00000273596.8	NM_015407.5
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough			
HGNC:28235	ABHD14B	abhydrolase domain containing 14B		ENST00000361143.10	NM_001146314.2
HGNC:26971	ABHD15	abhydrolase domain containing 15		ENST00000307201.5	NM_198147.3
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1			
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	142620	ENST00000395952.8	NM_021160.3
HGNC:16128	ABHD16B	abhydrolase domain containing 16B		ENST00000369916.5	NM_080622.4
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	617942	ENST00000292577.12	NM_001130111.2
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1			
HGNC:33538	ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)			
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3			
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4			
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5			
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6			
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7			
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8			
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9			
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	617943	ENST00000333421.7	NM_001025780.3
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	617944	ENST00000258884.5	NM_021214.2
HGNC:26111	ABHD18	abhydrolase domain containing 18		ENST00000645843.2	NM_001358451.3
HGNC:11320	ABI1	abl interactor 1	603050	ENST00000376140.4	NM_001012750.3
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1			
HGNC:24011	ABI2	abl interactor 2	606442	ENST00000261018.12	NM_001375670.1
HGNC:29859	ABI3	ABI family member 3	606363	ENST00000225941.6	NM_016428.3
HGNC:17265	ABI3BP	ABI family member 3 binding protein	606279	ENST00000471714.6	NM_001375547.2
HGNC:1364	ABITRAM	actin binding transcription modulator		ENST00000322940.11	NM_017832.4
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1			
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	189980	ENST00000318560.6	NM_005157.6
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	164690	ENST00000502732.6	NM_007314.4
HGNC:78	ABLIM1	actin binding LIM protein 1	602330	ENST00000533213.7	NM_002313.7
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	612544	ENST00000447017.7	NM_001130083.2
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	611305	ENST00000309868.12	NM_014945.5
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	110300		
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	600365	ENST00000302538.10	NM_021962.5
HGNC:55674	ABR-AS1	ABR antisense RNA 1			
HGNC:30655	ABRA	actin binding Rho activating protein	609747	ENST00000311955.4	NM_139166.5
HGNC:21230	ABRACL	ABRA C-terminal like		ENST00000367660.4	NM_021243.3
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	611143	ENST00000321945.12	NM_139076.3
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	611144	ENST00000298492.6	NM_032182.4
HGNC:17369	ABT1	activator of basal transcription 1	618750	ENST00000274849.3	NM_013375.4
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1			
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	608308	ENST00000232744.13	NM_172027.3
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2		ENST00000435224.3	NM_145804.3
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	604054	ENST00000333167.13	NM_001607.4
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	604770	ENST00000285093.15	NM_006111.3
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1			
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	200350	ENST00000616317.5	NM_198834.3
HGNC:85	ACACB	acetyl-CoA carboxylase beta	601557	ENST00000338432.12	NM_001093.4
HGNC:86	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)			
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	604773	ENST00000281182.9	NM_014384.3
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	611103	ENST00000308982.12	NM_014049.5
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript			
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	611181	ENST00000313698.9	NM_025247.6
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	614288	ENST00000264990.11	NM_032169.5
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	609576	ENST00000233710.4	NM_001608.4
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	607008	ENST00000370841.9	NM_000016.6
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	606885	ENST00000242592.9	NM_000017.4
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	600301	ENST00000358776.7	NM_001609.4
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	609575	ENST00000356839.10	NM_000018.4
HGNC:319	ACAN	aggrecan	155760	ENST00000560601.4	NM_001369268.1
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	607763	ENST00000158762.8	NM_014716.4
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	607766	ENST00000326793.11	NM_012287.6
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1			
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3		ENST00000354700.10	NM_030649.3
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	607809	ENST00000265838.9	NM_000019.4
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	100678	ENST00000367048.5	NM_005891.3
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	606809	ENST00000366812.6	NM_022735.4
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1			
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4		ENST00000321854.13	NM_001135705.3
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	616618	ENST00000396271.8	NM_145698.5
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	616352	ENST00000367595.4	NM_032360.4
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		ENST00000356189.6	NM_001039844.3
HGNC:96	ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)			
HGNC:97	ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)			
HGNC:98	ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)			
HGNC:14594	ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)			
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	608405	ENST00000263776.9	NM_032592.4
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like		ENST00000378832.1	NM_001031854.2
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	609377	ENST00000620761.6	NM_001082486.2
HGNC:2707	ACE	angiotensin I converting enzyme	106180	ENST00000290866.10	NM_000789.4
HGNC:13557	ACE2	angiotensin converting enzyme 2	300335	ENST00000252519.8	NM_001371415.1
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene			
HGNC:18356	ACER1	alkaline ceramidase 1	613491	ENST00000301452.5	NM_133492.3
HGNC:23675	ACER2	alkaline ceramidase 2	613492	ENST00000340967.3	NM_001010887.3
HGNC:54674	ACER2P1	ACER2 pseudogene 1			
HGNC:16066	ACER3	alkaline ceramidase 3	617036	ENST00000532485.6	NM_018367.7
HGNC:106	ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)			
HGNC:107	ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)			
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	100740	ENST00000241069.11	NM_000665.5
HGNC:109	ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)			
HGNC:110	ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)			
HGNC:111	ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)			
HGNC:112	ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)			
HGNC:113	ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)			
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	604562	ENST00000605057.6	NM_001386863.1
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	613665	ENST00000368122.4	NM_002036.4
HGNC:1565	ACKR2	atypical chemokine receptor 2	602648	ENST00000422265.6	NM_001296.5
HGNC:23692	ACKR3	atypical chemokine receptor 3	610376	ENST00000272928.4	NM_020311.3
HGNC:1611	ACKR4	atypical chemokine receptor 4	606065	ENST00000249887.3	NM_016557.4
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1			
HGNC:114	ACLS	acrocallosal syndrome			
HGNC:115	ACLY	ATP citrate lyase	108728	ENST00000352035.7	NM_001096.3
HGNC:116	ACMG	acromegaly			
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	608889	ENST00000356140.10	NM_138326.3
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene			
HGNC:117	ACO1	aconitase 1	100880	ENST00000309951.8	NM_002197.3
HGNC:118	ACO2	aconitase 2	100850	ENST00000216254.9	NM_001098.3
HGNC:33904	ACOD1	aconitate decarboxylase 1	615275	ENST00000377462.6	NM_001258406.2
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	614313	ENST00000311148.9	NM_001037161.2
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	609972	ENST00000238651.10	NM_006821.6
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	614314	ENST00000326303.5	NM_152331.4
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	614267	ENST00000645972.2	NM_001365788.1
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	602587	ENST00000361521.9	NM_007274.4
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	608123	ENST00000217455.9	NM_005469.4
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	300862	ENST00000379303.10	NM_001037171.2
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	606803	ENST00000343744.7	NM_147161.4
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	614315	ENST00000307624.8	NM_130767.3
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	615652	ENST00000230048.5	NM_018473.4
HGNC:119	ACOX1	acyl-CoA oxidase 1	609751	ENST00000293217.10	NM_004035.7
HGNC:120	ACOX2	acyl-CoA oxidase 2	601641	ENST00000302819.10	NM_003500.4
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	603402	ENST00000356406.10	NM_003501.3
HGNC:25621	ACOXL	acyl-CoA oxidase like		ENST00000439055.6	NM_001142807.4
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1			
HGNC:122	ACP1	acid phosphatase 1	171500	ENST00000272065.10	NM_004300.4
HGNC:123	ACP2	acid phosphatase 2, lysosomal	171650	ENST00000672073.1	NM_001610.4
HGNC:125	ACP3	acid phosphatase 3	171790	ENST00000336375.10	NM_001099.5
HGNC:14376	ACP4	acid phosphatase 4	606362	ENST00000270593.2	NM_033068.3
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	171640	ENST00000648477.1	NM_001611.5
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	611471	ENST00000583509.7	NM_016361.5
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	610490	ENST00000331256.10	NM_001004318.3
HGNC:126	ACR	acrosin	102480	ENST00000216139.10	NM_001097.3
HGNC:17195	ACRBP	acrosin binding protein	608352	ENST00000229243.7	NM_032489.3
HGNC:54745	ACRP1	ACR pseudogene 1			
HGNC:127	ACRV1	acrosomal vesicle protein 1	102525	ENST00000533904.6	NM_001612.6
HGNC:128	ACS3	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)			
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	614362	ENST00000258873.9	NM_015162.5
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	614363	ENST00000588485.6	NM_030924.5
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	610465	ENST00000300441.9	NM_025149.6
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	614245	ENST00000614302.5	NM_001243279.3
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	152425	ENST00000281455.7	NM_001995.5
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	602371	ENST00000357430.8	NM_004457.5
